"ID do Sensor",Hora,"Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
0102,00:07:26,000023.329,000049.967,00001000.0,000114.675,00000,00000
0102,00:17:46,000023.299,000049.802,00001000.0,000114.675,00000,00000
0102,00:28:06,000023.319,000049.702,00001000.0,000114.675,00000,00000
0102,00:38:28,000023.329,000049.657,00001000.0,000114.675,00000,00000
0102,00:48:20,000023.360,000049.487,00001000.0,000114.675,00000,00000
0102,00:58:30,000023.340,000049.437,00001000.0,000114.675,00000,00000
0102,01:19:07,000023.370,000049.373,00001000.0,000114.675,00000,00000
0102,01:29:30,000023.350,000049.405,00001000.0,000114.675,00000,00000
0102,01:39:50,000023.319,000049.390,00001000.0,000114.675,00000,00000
0102,01:50:07,000023.290,000049.444,00001000.0,000114.675,00000,00000
0102,02:00:29,000023.360,000049.325,00000999.0,000123.381,00000,00000
0102,02:10:49,000023.260,000049.590,00000999.0,000123.381,00000,00000
0102,02:21:05,000023.379,000049.328,00000999.0,000123.381,00000,00000
0102,02:31:26,000023.239,000049.773,00000999.0,000123.381,00000,00000
0102,02:41:49,000023.389,000049.409,00000999.0,000123.381,00000,00000
0102,02:52:12,000023.469,000049.267,00000999.0,000123.381,00000,00000
0102,03:02:36,000023.450,000049.404,00000999.0,000123.381,00000,00000
0102,03:13:04,000023.340,000049.668,00000999.0,000123.381,00000,00000
0102,03:23:31,000023.309,000049.757,00000999.0,000123.381,00000,00000
0102,03:33:59,000023.379,000049.604,00000999.0,000123.381,00000,00000
0102,03:44:26,000023.309,000049.757,00000999.0,000123.381,00000,00000
0102,03:54:50,000023.340,000049.610,00000999.0,000123.381,00000,00000
0102,04:05:10,000023.379,000049.466,00000999.0,000123.381,00000,00000
0102,04:15:38,000023.350,000049.416,00001000.0,000114.675,00000,00000
0102,04:26:03,000023.379,000049.270,00001000.0,000114.675,00000,00000
0102,04:36:18,000023.350,000049.497,00001000.0,000114.675,00000,00000
0102,04:46:33,000023.360,000049.555,00000999.0,000123.381,00000,00000
0102,04:56:58,000023.430,000049.506,00001000.0,000114.675,00000,00000
0102,05:07:18,000023.280,000049.973,00001000.0,000114.675,00000,00000
0102,05:17:44,000023.260,0000050.85,00001000.0,000114.675,00000,00000
0102,05:38:29,000023.170,000050.526,00001000.0,000114.675,00000,00000
0102,05:59:17,000023.270,000050.455,00001000.0,000114.675,00000,00000
0102,06:09:38,000023.219,000050.658,00001000.0,000114.675,00000,00000
0102,06:19:59,000023.159,000050.927,00001000.0,000114.675,00000,00000
0102,06:30:19,000023.180,000050.780,00001000.0,000114.675,00000,00000
0102,06:40:44,000023.159,000050.789,00001000.0,000114.675,00000,00000
0102,06:51:06,000023.129,000050.855,00001000.0,000114.675,00000,00000
0102,07:01:26,000023.110,000050.898,00001000.0,000114.675,00000,00000
0102,07:11:49,000023.180,000050.861,00001000.0,000114.675,00000,00000
0102,07:22:13,0000023.40,000051.109,00001000.0,000114.675,00000,00000
0102,07:32:40,000023.100,000050.644,00001000.0,000114.675,00000,00000
0102,07:42:56,000023.200,000050.425,00001001.0,000105.977,00000,00000
0102,07:53:20,000023.139,000050.775,00001001.0,000105.977,00000,00000
0102,08:03:44,0000023.49,0000051.76,00001001.0,000105.977,00000,00000
0102,08:14:03,000023.200,000050.781,00001001.0,000105.977,00000,00000
0102,08:24:29,000023.540,000050.255,00001001.0,000105.977,00000,00000
0102,08:34:56,000023.350,000050.718,00001001.0,000105.977,00000,00000
0102,08:45:21,000023.370,000050.708,00001001.0,000105.977,00000,00000
0102,08:55:43,000023.590,000050.192,00001001.0,000105.977,00000,00000
0102,09:16:30,000023.750,000049.656,00001001.0,000105.977,00000,00000
0102,09:26:57,000023.600,00000050.9,00001001.0,000105.977,00000,00000
0102,09:37:23,000023.780,000049.751,00001001.0,000105.977,00000,00000
0102,09:47:44,000023.940,000049.596,00001001.0,000105.977,00000,00000
0102,09:58:09,000023.909,000049.812,00001001.0,000105.977,00000,00000
0102,10:08:30,000023.959,000049.921,00001001.0,000105.977,00000,00000
0102,10:18:45,000024.209,000049.199,00001001.0,000105.977,00000,00000
0102,10:29:11,000024.110,000049.534,00001001.0,000105.977,00000,00000
0102,10:39:36,000024.200,000049.279,00001001.0,000105.977,00000,00000
0102,10:50:01,000024.239,000049.167,00001001.0,000105.977,00000,00000
0102,11:00:26,000024.170,000049.276,00001001.0,000105.977,00000,00000
0102,11:10:50,000024.200,000049.232,00001001.0,000105.977,00000,00000
0102,11:21:12,000024.170,000049.183,00001001.0,000105.977,00000,00000
0102,11:31:40,000024.100,000049.245,00001001.0,000105.977,00000,00000
0102,11:42:02,000024.120,000049.259,00001001.0,000105.977,00000,00000
0102,11:50:47,000024.260,000049.100,00001002.0,000097.287,00000,00000
0102,11:57:38,000024.170,000049.369,00001001.0,000105.977,00000,00000
0102,12:04:37,000024.329,0000049.74,00001001.0,000105.977,00000,00000
0102,12:11:22,000024.280,000049.264,00001001.0,000105.977,00000,00000
0102,12:19:41,000024.260,000049.377,00001001.0,000105.977,00000,00000
0102,12:30:04,000024.340,000049.189,00001001.0,000105.977,00000,00000
0102,12:40:29,000024.459,000048.983,00001001.0,000105.977,00000,00000
0102,12:50:52,000024.440,000048.958,00001002.0,000097.287,00000,00000
0102,13:01:16,000024.420,000048.944,00001002.0,000097.287,00000,00000
0102,13:11:34,000024.299,000049.185,00001002.0,000097.287,00000,00000
0102,13:21:57,000024.389,000048.941,00001002.0,000097.287,00000,00000
0102,13:32:13,000024.479,000048.651,00001001.0,000105.977,00000,00000
0102,13:42:31,000024.479,000048.639,00001001.0,000105.977,00000,00000
0102,13:52:57,000024.420,000048.736,00001001.0,000105.977,00000,00000
0102,14:13:38,000024.420,000048.598,00001001.0,000105.977,00000,00000
0102,14:23:47,000024.430,000048.519,00001001.0,000105.977,00000,00000
0102,14:33:26,000024.409,000048.469,00001001.0,000105.977,00000,00000
0102,14:51:50,000024.440,000048.380,00001001.0,000105.977,00000,00000
0102,15:52:20,000022.799,000052.587,00001001.0,000105.977,00000,00000
0102,16:02:36,000023.379,000050.527,00001001.0,000105.977,00000,00000
0102,16:12:53,000023.709,000049.284,00001001.0,000105.977,00000,00000
0102,16:23:09,0000024.30,000048.625,00001001.0,000105.977,00000,00000
0102,16:33:21,000024.120,000048.358,00001001.0,000105.977,00000,00000
0102,16:43:45,000024.239,000048.405,00001001.0,000105.977,00000,00000
0102,16:54:05,000024.459,000047.990,00001001.0,000105.977,00000,00000
0102,17:04:25,000024.510,0000048.76,00001001.0,000105.977,00000,00000
0102,17:14:48,000024.520,000048.240,00001001.0,000105.977,00000,00000
0102,17:25:06,000024.530,000048.343,00001001.0,000105.977,00000,00000
0102,17:35:25,000024.610,000048.306,00001001.0,000105.977,00000,00000
0102,17:45:44,000024.569,000048.522,00001001.0,000105.977,00000,00000
0102,17:56:06,000024.639,000048.713,00001001.0,000105.977,00000,00000
0102,18:06:28,000024.579,000048.743,00001001.0,000105.977,00000,00000
0102,18:16:30,000024.649,000048.750,00001001.0,000105.977,00000,00000
0102,18:26:43,000024.549,000049.108,00001001.0,000105.977,00000,00000
0102,18:37:02,000024.600,000049.172,00001001.0,000105.977,00000,00000
0102,18:47:18,000024.649,000049.212,00001001.0,000105.977,00000,00000
0102,18:57:34,000024.639,000049.291,00001001.0,000105.977,00000,00000
0102,19:08:00,000024.569,000048.856,00001001.0,000105.977,00000,00000
0102,19:18:19,000024.629,000048.274,00001001.0,000105.977,00000,00000
0102,19:28:41,000024.370,000047.738,00001001.0,000105.977,00000,00000
0102,19:39:05,000024.440,000047.526,00001001.0,000105.977,00000,00000
0102,19:49:31,000024.340,000048.335,00001001.0,000105.977,00000,00000
0102,19:59:44,000024.280,000048.594,00001001.0,000105.977,00000,00000
0102,20:10:03,000024.260,000048.834,00001001.0,000105.977,00000,00000
0102,20:20:28,000024.229,00000049.5,00001001.0,000105.977,00000,00000
0102,20:30:54,000024.319,000048.841,00001001.0,000105.977,00000,00000
0102,20:41:19,000024.319,000048.922,00001001.0,000105.977,00000,00000
0102,20:51:40,000024.379,000048.871,00001001.0,000105.977,00000,00000
